country_code,country,sex_code,sex,year,value,lower_bound,upper_bound,status,note,updated_at
ISL,Iceland,SEX_FMLE,female,2015,14.0,11.9,16.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2020,11.0,9.1,12.8,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2022,9.9,8.0,11.8,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2023,9.4,7.9,11.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2024,9.0,7.4,10.6,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2025,8.6,7.1,10.1,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2000,32.4,27.0,37.9,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2005,25.0,20.7,29.3,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2007,22.6,19.0,26.2,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2010,19.2,16.3,22.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2015,14.9,12.3,17.4,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2020,11.6,9.5,13.6,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2022,10.4,8.5,12.4,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2023,9.9,8.2,11.6,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2024,9.4,7.7,11.0,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_MLE,male,2025,8.9,7.4,10.4,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2000,45.3,38.9,51.7,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2005,34.9,29.1,40.7,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2007,31.4,26.8,36.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2010,26.8,22.8,30.9,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2015,20.8,17.5,24.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2020,16.0,13.4,18.6,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2022,14.4,12.0,16.8,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2023,13.7,11.3,16.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2024,12.9,10.9,15.0,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_BTSX,all,2025,12.3,10.3,14.3,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2000,44.9,38.1,51.7,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2005,34.0,28.0,40.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2007,30.3,26.0,34.5,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2010,25.7,21.8,29.6,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2015,19.4,16.2,22.6,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2020,14.6,12.1,17.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2022,13.1,11.1,15.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2023,12.4,10.2,14.5,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2024,11.6,9.8,13.4,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_FMLE,female,2025,11.0,9.1,12.9,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2000,45.7,39.7,51.8,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2005,35.7,30.1,41.4,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2007,32.6,27.5,37.7,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2010,28.0,23.8,32.2,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2015,22.2,18.8,25.5,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2020,17.3,14.6,20.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2022,15.7,12.9,18.5,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2023,15.0,12.5,17.5,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2024,14.2,11.9,16.6,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
NOR,Norway,SEX_MLE,male,2025,13.6,11.4,15.7,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2000,49.5,38.5,60.5,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2005,40.8,32.9,48.8,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2007,38.1,30.6,45.6,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2010,33.9,27.6,40.2,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2015,28.2,22.7,33.6,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2020,23.5,19.0,27.9,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2022,21.8,17.8,25.7,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2023,21.0,16.8,25.2,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2024,20.3,16.3,24.2,projected,The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_BTSX,all,2025,19.5,15.5,23.5,projected,The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
